UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
O00220	TR10A_HUMAN	TNFRSF10A	P16070	CD44_HUMAN	CD44	2	2	1	0	2
O00220	TR10A_HUMAN	TNFRSF10A	Q9NPF0	CD320_HUMAN	CD320	2	2	1	0	3
O00220	TR10A_HUMAN	TNFRSF10A	O00220	TR10A_HUMAN	TNFRSF10A	0	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	Q99613	EIF3C_HUMAN	EIF3C	4	3	2	0	4
O00571	DDX3X_HUMAN	DDX3X	Q13347	EIF3I_HUMAN	EIF3I	2	2	1	0	2
O00571	DDX3X_HUMAN	DDX3X	O15371	EIF3D_HUMAN	EIF3D	3	3	2	0	3
O00571	DDX3X_HUMAN	DDX3X	P55884	EIF3B_HUMAN	EIF3B	4	4	2	0	10
O00571	DDX3X_HUMAN	DDX3X	P46781	RS9_HUMAN	RPS9	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P17844	DDX5_HUMAN	DDX5	1	1	1	0	1
O09528	O09528_9HIV1	vpu	P01730	CD4_HUMAN	CD4	1	1	1	0	1
O14964	HGS_HUMAN	HGS	P05783	K1C18_HUMAN	KRT18	4	5	4	0	9
O14964	HGS_HUMAN	HGS	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
O14964	HGS_HUMAN	HGS	P07437	TBB5_HUMAN	TUBB	1	1	1	0	1
O14964	HGS_HUMAN	HGS	P27986	P85A_HUMAN	PIK3R1	0	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P27986	P85A_HUMAN	PIK3R1	2	2	1	0	2
O15357	SHIP2_HUMAN	INPPL1	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P07437	TBB5_HUMAN	TUBB	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	O00571	DDX3X_HUMAN	DDX3X	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P05388	RLA0_HUMAN	RPLP0	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P17844	DDX5_HUMAN	DDX5	1	1	1	0	1
O15357	SHIP2_HUMAN	INPPL1	P39019	RS19_HUMAN	RPS19	1	1	1	0	1
O15371	EIF3D_HUMAN	EIF3D	P19338	NUCL_HUMAN	NCL	1	1	1	0	1
O15371	EIF3D_HUMAN	EIF3D	P25398	RS12_HUMAN	RPS12	1	1	1	0	1
O15371	EIF3D_HUMAN	EIF3D	P46781	RS9_HUMAN	RPS9	1	1	1	0	1
O43561	LAT_HUMAN	LAT	P06239	LCK_HUMAN	LCK	6	6	3	0	7
O43561	LAT_HUMAN	LAT	P01730	CD4_HUMAN	CD4	0	1	1	0	1
