UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
A0A5P8YBL8	A0A5P8YBL8_YERPE	mscM	P01732	CD8A_HUMAN	CD8A	1	1	1	0	1
A0A5P8YBL8	A0A5P8YBL8_YERPE	mscM	P61769	B2MG_HUMAN	B2M	1	1	1	0	1
O43561	LAT_HUMAN	LAT	P06239	LCK_HUMAN	LCK	6	6	3	0	7
O43561	LAT_HUMAN	LAT	P01732	CD8A_HUMAN	CD8A	0	1	1	0	1
O75446	SAP30_HUMAN	SAP30	Q16576	RBBP7_HUMAN	RBBP7	13	6	10	0	16
O75446	SAP30_HUMAN	SAP30	O94776	MTA2_HUMAN	MTA2	1	1	1	0	1
O75446	SAP30_HUMAN	SAP30	Q14839	CHD4_HUMAN	CHD4	1	1	1	0	3
O94776	MTA2_HUMAN	MTA2	Q92769	HDAC2_HUMAN	HDAC2	20	6	17	0	23
O94776	MTA2_HUMAN	MTA2	Q13547	HDAC1_HUMAN	HDAC1	36	10	29	0	44
O94776	MTA2_HUMAN	MTA2	Q16576	RBBP7_HUMAN	RBBP7	19	8	13	0	23
O94776	MTA2_HUMAN	MTA2	Q09028	RBBP4_HUMAN	RBBP4	19	7	15	0	21
O94776	MTA2_HUMAN	MTA2	O95983	MBD3_HUMAN	MBD3	11	6	8	0	13
O94776	MTA2_HUMAN	MTA2	Q96ST3	SIN3A_HUMAN	SIN3A	2	1	2	0	2
O94776	MTA2_HUMAN	MTA2	O94776	MTA2_HUMAN	MTA2	1	1	1	0	1
O95983	MBD3_HUMAN	MBD3	Q14839	CHD4_HUMAN	CHD4	8	5	6	0	9
O95983	MBD3_HUMAN	MBD3	O95983	MBD3_HUMAN	MBD3	3	2	4	0	4
O95983	MBD3_HUMAN	MBD3	Q9UBB5	MBD2_HUMAN	MBD2	7	4	5	0	11
P01732	CD8A_HUMAN	CD8A	Q9HB71	CYBP_HUMAN	CACYBP	1	2	1	0	2
P01732	CD8A_HUMAN	CD8A	P27797	CALR_HUMAN	CALR	2	2	1	0	2
P01732	CD8A_HUMAN	CD8A	P10966	CD8B_HUMAN	CD8B	1	2	2	0	2
P01732	CD8A_HUMAN	CD8A	P01732	CD8A_HUMAN	CD8A	2	3	3	2	3
P01732	CD8A_HUMAN	CD8A	P13987	CD59_HUMAN	CD59	1	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q8N448	LNX2_HUMAN	LNX2	4	4	1	0	5
P01732	CD8A_HUMAN	CD8A	Q8TBB1	LNX1_HUMAN	LNX1	3	3	1	0	4
P01732	CD8A_HUMAN	CD8A	P53621	COPA_HUMAN	COPA	1	1	1	0	1
P01732	CD8A_HUMAN	CD8A	P06239	LCK_HUMAN	LCK	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	P13747	HLAE_HUMAN	HLA-E	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	P09382	LEG1_HUMAN	LGALS1	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q13547	HDAC1_HUMAN	HDAC1	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q14152	EIF3A_HUMAN	EIF3A	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q16576	RBBP7_HUMAN	RBBP7	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q09028	RBBP4_HUMAN	RBBP4	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q14839	CHD4_HUMAN	CHD4	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	O75446	SAP30_HUMAN	SAP30	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q9UBB5	MBD2_HUMAN	MBD2	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	O95983	MBD3_HUMAN	MBD3	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q92769	HDAC2_HUMAN	HDAC2	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	O94776	MTA2_HUMAN	MTA2	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q96ST3	SIN3A_HUMAN	SIN3A	0	1	1	0	1
P01732	CD8A_HUMAN	CD8A	P11021	GRP78_HUMAN	HSPA5	1	1	1	0	1
P01732	CD8A_HUMAN	CD8A	Q15818	NPTX1_HUMAN	NPTX1	1	1	1	0	1
P01889	1B07_HUMAN	HLA-B	P61769	B2MG_HUMAN	B2M	15	7	14	133	32
P01889	1B07_HUMAN	HLA-B	P04439	1A03_HUMAN	HLA-A	4	3	3	0	6
P01889	1B07_HUMAN	HLA-B	P10321	1C07_HUMAN	HLA-C	4	3	3	0	6
P01889	1B07_HUMAN	HLA-B	P13747	HLAE_HUMAN	HLA-E	3	2	2	0	4
P01889	1B07_HUMAN	HLA-B	P01732	CD8A_HUMAN	CD8A	1	2	2	0	2
P01889	1B07_HUMAN	HLA-B	P11021	GRP78_HUMAN	HSPA5	1	1	1	0	1
P01889	1B07_HUMAN	HLA-B	P01889	1B07_HUMAN	HLA-B	1	2	2	7	2
P04234	CD3D_HUMAN	CD3D	P01732	CD8A_HUMAN	CD8A	2	3	1	0	3
P04234	CD3D_HUMAN	CD3D	P10966	CD8B_HUMAN	CD8B	0	1	1	0	1
P04234	CD3D_HUMAN	CD3D	P10321	1C07_HUMAN	HLA-C	1	1	1	0	1
P04439	1A03_HUMAN	HLA-A	P61769	B2MG_HUMAN	B2M	11	8	9	222	35
P04439	1A03_HUMAN	HLA-A	P04439	1A03_HUMAN	HLA-A	1	2	2	50	6
P04439	1A03_HUMAN	HLA-A	P01732	CD8A_HUMAN	CD8A	2	3	2	2	3
P06126	CD1A_HUMAN	CD1A	P61769	B2MG_HUMAN	B2M	2	2	2	6	3
P06126	CD1A_HUMAN	CD1A	P01732	CD8A_HUMAN	CD8A	0	1	1	0	1
P06126	CD1A_HUMAN	CD1A	P10321	1C07_HUMAN	HLA-C	1	1	1	0	1
P06126	CD1A_HUMAN	CD1A	P01889	1B07_HUMAN	HLA-B	1	1	1	0	1
P06126	CD1A_HUMAN	CD1A	P04439	1A03_HUMAN	HLA-A	1	1	1	0	1
P06239	LCK_HUMAN	LCK	P08575	PTPRC_HUMAN	PTPRC	14	8	9	0	16
