UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
A6SZC0	A6SZC0_JANMA	bfrF1	A6SZC0	A6SZC0_JANMA	bfrF1	1	1	1	0	1
A6SZC0	A6SZC0_JANMA	bfrF1	P0C738	BNL2A_EBVG	BNLF2a	1	1	1	0	1
A6SZC0	A6SZC0_JANMA	bfrF1	Q8AZK7	EBNA5_EBVB9	EBNA-LP	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q15773	MLF2_HUMAN	MLF2	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P11021	GRP78_HUMAN	HSPA5	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P10909	CLUS_HUMAN	CLU	2	1	2	0	2
O00165	HAX1_HUMAN	HAX1	P07900	HS90A_HUMAN	HSP90AA1	3	2	2	0	4
O00165	HAX1_HUMAN	HAX1	Q9UL15	BAG5_HUMAN	BAG5	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P27708	PYR1_HUMAN	CAD	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q00610	CLH1_HUMAN	CLTC	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P50402	EMD_HUMAN	EMD	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q9UNE7	CHIP_HUMAN	STUB1	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P0CG47	UBB_HUMAN	UBB	1	1	1	0	1
O15027	SC16A_HUMAN	SEC16A	P55735	SEC13_HUMAN	SEC13	5	2	3	0	6
O15027	SC16A_HUMAN	SEC16A	P61978	HNRPK_HUMAN	HNRNPK	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	P52272	HNRPM_HUMAN	HNRNPM	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	Q9ULX6	AKP8L_HUMAN	AKAP8L	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	O95817	BAG3_HUMAN	BAG3	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	P27708	PYR1_HUMAN	CAD	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	Q32P28	P3H1_HUMAN	P3H1	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	P09651	ROA1_HUMAN	HNRNPA1	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	O15460	P4HA2_HUMAN	P4HA2	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	Q8N163	CCAR2_HUMAN	CCAR2	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	Q63ZY3	KANK2_HUMAN	KANK2	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	Q96KG9	SCYL1_HUMAN	SCYL1	1	1	1	0	1
O15460	P4HA2_HUMAN	P4HA2	P13674	P4HA1_HUMAN	P4HA1	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	P62277	RS13_HUMAN	RPS13	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	O95817	BAG3_HUMAN	BAG3	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	O75953	DNJB5_HUMAN	DNAJB5	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	Q9UNE7	CHIP_HUMAN	STUB1	2	2	1	0	2
O15460	P4HA2_HUMAN	P4HA2	O15460	P4HA2_HUMAN	P4HA2	0	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q07666	KHDR1_HUMAN	KHDRBS1	2	1	2	0	2
O43390	HNRPR_HUMAN	HNRNPR	Q07955	SRSF1_HUMAN	SRSF1	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	O75643	U520_HUMAN	SNRNP200	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	O75533	SF3B1_HUMAN	SF3B1	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	P23246	SFPQ_HUMAN	SFPQ	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q13151	ROA0_HUMAN	HNRNPA0	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q12906	ILF3_HUMAN	ILF3	2	2	2	0	2
O43390	HNRPR_HUMAN	HNRNPR	P62266	RS23_HUMAN	RPS23	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q92878	RAD50_HUMAN	RAD50	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	P62899	RL31_HUMAN	RPL31	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	P17844	DDX5_HUMAN	DDX5	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q6P2Q9	PRP8_HUMAN	PRPF8	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	P18124	RL7_HUMAN	RPL7	1	1	1	0	1
O43390	HNRPR_HUMAN	HNRNPR	Q8NC51	PAIRB_HUMAN	SERBP1	1	1	1	0	1
