UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
A0A2U2H085	A0A2U2H085_YERPE	tssB	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
O60609	GFRA3_HUMAN	GFRA3	P01911	2B1F_HUMAN	HLA-DRB1	1	1	1	0	1
O60609	GFRA3_HUMAN	GFRA3	Q9NRU3	CNNM1_HUMAN	CNNM1	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P04233	HG2A_HUMAN	CD74	1	2	2	8	3
P01903	DRA_HUMAN	HLA-DRA	Q9NZJ5	E2AK3_HUMAN	EIF2AK3	3	2	2	0	4
P01903	DRA_HUMAN	HLA-DRA	Q9NX62	IMPA3_HUMAN	IMPAD1	3	2	2	0	3
P01903	DRA_HUMAN	HLA-DRA	Q96GX1	TECT2_HUMAN	TCTN2	3	2	2	0	3
P01903	DRA_HUMAN	HLA-DRA	Q8NC67	NETO2_HUMAN	NETO2	3	2	2	0	3
P01903	DRA_HUMAN	HLA-DRA	Q30154	DRB5_HUMAN	HLA-DRB5	3	3	3	4	5
P01903	DRA_HUMAN	HLA-DRA	P14618	KPYM_HUMAN	PKM	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P11142	HSP7C_HUMAN	HSPA8	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P50995	ANX11_HUMAN	ANXA11	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P08238	HS90B_HUMAN	HSP90AB1	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P05026	AT1B1_HUMAN	ATP1B1	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P62258	1433E_HUMAN	YWHAE	1	1	1	0	1
P01903	DRA_HUMAN	HLA-DRA	P11836	CD20_HUMAN	MS4A1	2	2	2	0	2
P01903	DRA_HUMAN	HLA-DRA	Q9NRU3	CNNM1_HUMAN	CNNM1	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P19120	HSP7C_BOVIN	HSPA8	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P0DMV8	HS71A_HUMAN	HSPA1A	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P0A6Y8	DNAK_ECOLI	dnaK	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	Q9F287	Q9F287_YERPE	yapF	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	Q5NF67	Q5NF67_FRATT	acpP	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	Q5NF60	DNLJ_FRATT	ligA	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P01903	DRA_HUMAN	HLA-DRA	8	6	9	60	12
P01911	2B1F_HUMAN	HLA-DRB1	Q8WVV5	BT2A2_HUMAN	BTN2A2	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q9NZJ5	E2AK3_HUMAN	EIF2AK3	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q9NX62	IMPA3_HUMAN	IMPAD1	2	2	1	0	2
P01911	2B1F_HUMAN	HLA-DRB1	Q9NRU3	CNNM1_HUMAN	CNNM1	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q9BV81	EMC6_HUMAN	EMC6	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q8NC42	RN149_HUMAN	RNF149	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q8IZA0	K319L_HUMAN	KIAA0319L	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q30154	DRB5_HUMAN	HLA-DRB5	3	2	2	0	4
P01911	2B1F_HUMAN	HLA-DRB1	Q14534	ERG1_HUMAN	SQLE	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	Q13370	PDE3B_HUMAN	PDE3B	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	P23229	ITA6_HUMAN	ITGA6	2	2	1	0	2
P01911	2B1F_HUMAN	HLA-DRB1	P01911	2B1F_HUMAN	HLA-DRB1	3	2	2	12	4
P01911	2B1F_HUMAN	HLA-DRB1	O95754	SEM4F_HUMAN	SEMA4F	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	O95476	CNEP1_HUMAN	CTDNEP1	2	2	1	0	3
P01911	2B1F_HUMAN	HLA-DRB1	P55072	TERA_HUMAN	VCP	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P14618	KPYM_HUMAN	PKM	1	1	1	0	1
P01911	2B1F_HUMAN	HLA-DRB1	P07900	HS90A_HUMAN	HSP90AA1	1	1	1	0	1
