UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P01584	IL1B_HUMAN	IL1B	P01023	A2MG_HUMAN	A2M	2	3	2	0	3
P01023	A2MG_HUMAN	A2M	P01023	A2MG_HUMAN	A2M	1	1	1	0	1
P01106	MYC_HUMAN	MYC	P01106	MYC_HUMAN	MYC	5	3	5	0	5
P05067	A4_HUMAN	APP	P01106	MYC_HUMAN	MYC	1	1	1	0	1
P14618	KPYM_HUMAN	PKM	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
Q9NPH3	IL1AP_HUMAN	IL1RAP	P01584	IL1B_HUMAN	IL1B	5	5	4	2	12
P01106	MYC_HUMAN	MYC	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
Q86WV6	STING_HUMAN	TMEM173	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P14778	IL1R1_HUMAN	IL1R1	P01584	IL1B_HUMAN	IL1B	3	3	3	2	4
P23946	CMA1_HUMAN	CMA1	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P06241	FYN_HUMAN	FYN	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P07948	LYN_HUMAN	LYN	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P18031	PTN1_HUMAN	PTPN1	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P51617	IRAK1_HUMAN	IRAK1	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P09429	HMGB1_HUMAN	HMGB1	P01584	IL1B_HUMAN	IL1B	1	1	1	0	1
P08253	MMP2_HUMAN	MMP2	P01584	IL1B_HUMAN	IL1B	0	1	1	0	1
P07550	ADRB2_HUMAN	ADRB2	P01584	IL1B_HUMAN	IL1B	0	1	1	0	1
P49662	CASP4_HUMAN	CASP4	P01584	IL1B_HUMAN	IL1B	0	1	1	0	1
P01584	IL1B_HUMAN	IL1B	P01584	IL1B_HUMAN	IL1B	0	1	1	0	1
P27930	IL1R2_HUMAN	IL1R2	P01584	IL1B_HUMAN	IL1B	0	1	1	1	1
