UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
O14508	SOCS2_HUMAN	SOCS2	O15524	SOCS1_HUMAN	SOCS1	2	1	2	0	2
O14508	SOCS2_HUMAN	SOCS2	Q14289	FAK2_HUMAN	PTK2B	2	2	1	0	3
O14508	SOCS2_HUMAN	SOCS2	P51692	STA5B_HUMAN	STAT5B	2	2	1	0	2
O15524	SOCS1_HUMAN	SOCS1	P27986	P85A_HUMAN	PIK3R1	2	3	3	0	3
O15524	SOCS1_HUMAN	SOCS1	P52333	JAK3_HUMAN	JAK3	2	3	4	0	4
O15524	SOCS1_HUMAN	SOCS1	O15524	SOCS1_HUMAN	SOCS1	1	1	1	0	1
O60216	RAD21_HUMAN	RAD21	P16871	IL7RA_HUMAN	IL7R	1	1	1	0	1
O60216	RAD21_HUMAN	RAD21	O60216	RAD21_HUMAN	RAD21	1	1	1	0	1
O95236	APOL3_HUMAN	APOL3	P16871	IL7RA_HUMAN	IL7R	1	1	1	0	1
O95415	BRI3_HUMAN	BRI3	Q13021	MALL_HUMAN	MALL	1	1	1	0	1
P06241	FYN_HUMAN	FYN	P06241	FYN_HUMAN	FYN	6	5	6	0	6
P06241	FYN_HUMAN	FYN	Q14289	FAK2_HUMAN	PTK2B	6	5	4	0	8
P06241	FYN_HUMAN	FYN	P27986	P85A_HUMAN	PIK3R1	3	3	4	0	4
P06241	FYN_HUMAN	FYN	P06748	NPM_HUMAN	NPM1	1	1	1	0	1
P06241	FYN_HUMAN	FYN	P41743	KPCI_HUMAN	PRKCI	2	2	1	0	3
P06241	FYN_HUMAN	FYN	O15524	SOCS1_HUMAN	SOCS1	2	3	2	0	3
P06241	FYN_HUMAN	FYN	P10721	KIT_HUMAN	KIT	1	2	2	0	2
P06241	FYN_HUMAN	FYN	P07948	LYN_HUMAN	LYN	1	2	2	0	2
P06748	NPM_HUMAN	NPM1	P06748	NPM_HUMAN	NPM1	7	3	6	0	7
P06748	NPM_HUMAN	NPM1	P16871	IL7RA_HUMAN	IL7R	2	2	1	0	2
P06748	NPM_HUMAN	NPM1	P27986	P85A_HUMAN	PIK3R1	1	1	1	0	1
