UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
O14744	ANM5_HUMAN	PRMT5	O14744	ANM5_HUMAN	PRMT5	5	5	5	0	7
P49336	CDK8_HUMAN	CDK8	O14744	ANM5_HUMAN	PRMT5	2	2	1	0	3
P01112	RASH_HUMAN	HRAS	O14744	ANM5_HUMAN	PRMT5	1	1	1	0	1
O14965	AURKA_HUMAN	AURKA	O14965	AURKA_HUMAN	AURKA	4	4	4	0	5
Q96SB4	SRPK1_HUMAN	SRPK1	O14965	AURKA_HUMAN	AURKA	2	2	1	0	2
P49336	CDK8_HUMAN	CDK8	O14965	AURKA_HUMAN	AURKA	1	2	1	0	2
P17612	KAPCA_HUMAN	PRKACA	O14965	AURKA_HUMAN	AURKA	0	1	1	0	1
P02686	MBP_HUMAN	MBP	O15194	CTDSL_HUMAN	CTDSPL	3	3	2	0	4
Q9GZU7	CTDS1_HUMAN	CTDSP1	O15194	CTDSL_HUMAN	CTDSPL	3	2	2	0	4
P50750	CDK9_HUMAN	CDK9	O15194	CTDSL_HUMAN	CTDSPL	0	1	1	0	1
P53778	MK12_HUMAN	MAPK12	O15264	MK13_HUMAN	MAPK13	3	2	2	0	4
Q8IW41	MAPK5_HUMAN	MAPKAPK5	O15264	MK13_HUMAN	MAPK13	0	1	1	0	1
Q13501	SQSTM_HUMAN	SQSTM1	O75385	ULK1_HUMAN	ULK1	8	4	5	0	11
O75385	ULK1_HUMAN	ULK1	O75385	ULK1_HUMAN	ULK1	4	3	2	0	5
Q9Y4K3	TRAF6_HUMAN	TRAF6	O75385	ULK1_HUMAN	ULK1	3	3	1	0	5
Q16539	MK14_HUMAN	MAPK14	O75385	ULK1_HUMAN	ULK1	3	3	1	0	4
Q16539	MK14_HUMAN	MAPK14	O75582	KS6A5_HUMAN	RPS6KA5	6	5	5	0	8
O75716	STK16_HUMAN	STK16	O75716	STK16_HUMAN	STK16	1	2	1	0	2
O82656	PTP1_ARATH	PTP1	O82656	PTP1_ARATH	PTP1	1	1	1	0	1
O94875	SRBS2_HUMAN	SORBS2	O94875	SRBS2_HUMAN	SORBS2	2	2	2	0	3
O95786	DDX58_HUMAN	DDX58	O95786	DDX58_HUMAN	DDX58	4	2	4	2	5
P17252	KPCA_HUMAN	PRKCA	O95786	DDX58_HUMAN	DDX58	2	2	1	0	3
P05771	KPCB_HUMAN	PRKCB	O95786	DDX58_HUMAN	DDX58	2	2	1	0	3
P02686	MBP_HUMAN	MBP	O95786	DDX58_HUMAN	DDX58	1	1	1	0	2
P00519	ABL1_HUMAN	ABL1	P00519	ABL1_HUMAN	ABL1	1	4	4	0	4
O94875	SRBS2_HUMAN	SORBS2	P00519	ABL1_HUMAN	ABL1	4	4	3	0	5
P62826	RAN_HUMAN	RAN	P00519	ABL1_HUMAN	ABL1	1	2	1	0	2
P06493	CDK1_HUMAN	CDK1	P00519	ABL1_HUMAN	ABL1	1	2	1	0	2
Q9H2X6	HIPK2_HUMAN	HIPK2	P00519	ABL1_HUMAN	ABL1	3	3	1	0	3
Q13501	SQSTM_HUMAN	SQSTM1	P00519	ABL1_HUMAN	ABL1	1	1	1	0	1
Q15198	PGFRL_HUMAN	PDGFRL	P01112	RASH_HUMAN	HRAS	1	2	1	0	2
P04156	PRIO_HUMAN	PRNP	P01112	RASH_HUMAN	HRAS	1	1	1	0	1
P01112	RASH_HUMAN	HRAS	P01112	RASH_HUMAN	HRAS	3	2	3	1	3
P45983	MK08_HUMAN	MAPK8	P01112	RASH_HUMAN	HRAS	0	2	1	0	2
P51617	IRAK1_HUMAN	IRAK1	P01112	RASH_HUMAN	HRAS	0	1	1	0	1
Q05513	KPCZ_HUMAN	PRKCZ	P01112	RASH_HUMAN	HRAS	0	1	1	0	1
P02686	MBP_HUMAN	MBP	P01568	IFN21_HUMAN	IFNA21	1	1	1	0	1
P28067	DMA_HUMAN	HLA-DMA	P01903	DRA_HUMAN	HLA-DRA	3	2	2	0	18
D7RIG0	D7RIG0_HUMAN	HLA-DRB1	P01903	DRA_HUMAN	HLA-DRA	2	2	1	0	3
Q9MAT5	ANM10_ARATH	PRMT10	P02686	MBP_HUMAN	MBP	1	1	1	0	1
P05067	A4_HUMAN	APP	P02686	MBP_HUMAN	MBP	2	4	2	0	4
Q8IIN1	Q8IIN1_PLAF7	PF11_0139	P02686	MBP_HUMAN	MBP	1	1	1	0	1
P28067	DMA_HUMAN	HLA-DMA	P02686	MBP_HUMAN	MBP	2	2	1	0	6
P01903	DRA_HUMAN	HLA-DRA	P02686	MBP_HUMAN	MBP	2	4	2	3	4
Q92574	TSC1_HUMAN	TSC1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
P0DP24	CALM2_HUMAN	CALM2	P02686	MBP_HUMAN	MBP	2	2	1	0	2
D7RIG0	D7RIG0_HUMAN	HLA-DRB1	P02686	MBP_HUMAN	MBP	1	1	1	0	2
Q15198	PGFRL_HUMAN	PDGFRL	P02686	MBP_HUMAN	MBP	1	2	1	0	2
P07550	ADRB2_HUMAN	ADRB2	P02686	MBP_HUMAN	MBP	2	4	1	0	4
P32246	CCR1_HUMAN	CCR1	P02686	MBP_HUMAN	MBP	2	4	1	0	4
P25105	PTAFR_HUMAN	PTAFR	P02686	MBP_HUMAN	MBP	2	4	1	0	4
P04156	PRIO_HUMAN	PRNP	P02686	MBP_HUMAN	MBP	1	1	1	0	2
P16333	NCK1_HUMAN	NCK1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9GZU7	CTDS1_HUMAN	CTDSP1	P02686	MBP_HUMAN	MBP	5	7	5	0	10
Q94AT1	P2C76_ARATH	At5g53140	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9LMT1	P2C08_ARATH	At1g18030	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q7XJ53	P2C35_ARATH	At3g06270	P02686	MBP_HUMAN	MBP	1	1	1	0	1
O81716	P2C21_ARATH	PPC4-2	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9M8R7	P2C33_ARATH	PPC6-1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q8LAY8	P2C69_ARATH	At5g10740	P02686	MBP_HUMAN	MBP	1	1	1	0	1
P49597	P2C56_ARATH	ABI1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q93YW5	P2C58_ARATH	At4g28400	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q84JD5	P2C68_ARATH	At5g06750	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9SZ53	P2C60_ARATH	At4g31860	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9LUU7	P2C43_ARATH	At3g17250	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q5PNS9	P2C64_ARATH	At4g38520	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9M9W9	P2C34_ARATH	At3g05640	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9FKX4	P2C79_ARATH	At5g66080	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q8RXZ4	P2C18_ARATH	At1g79630	P02686	MBP_HUMAN	MBP	1	1	1	0	1
O64730	P2C26_ARATH	At2g30170	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q4PSE8	P2C71_ARATH	At5g24940	P02686	MBP_HUMAN	MBP	1	1	1	0	1
O82656	PTP1_ARATH	PTP1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
O82734	PP18_ARATH	TOPP8	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9CAJ0	P2C16_ARATH	HAB1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
O04719	P2C77_ARATH	ABI2	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9S9Z7	P2C10_ARATH	At1g34750	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q8VZN9	P2C11_ARATH	At1g43900	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9LDA7	P2C39_ARATH	At3g15260	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q8SSS9	QKGA_DICDI	qkgA-2	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9V3Q6	M3K7_DROME	Tak1	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q96QT4	TRPM7_HUMAN	TRPM7	P02686	MBP_HUMAN	MBP	1	2	1	0	2
O14744	ANM5_HUMAN	PRMT5	P02686	MBP_HUMAN	MBP	1	2	1	0	2
Q9UEW8	STK39_HUMAN	STK39	P02686	MBP_HUMAN	MBP	1	2	1	0	2
Q9BXA6	TSSK6_HUMAN	TSSK6	P02686	MBP_HUMAN	MBP	1	1	1	0	1
A1L1M0	A1L1M0_RAT	Prkaca	P02686	MBP_HUMAN	MBP	1	1	1	0	1
Q9NWZ3	IRAK4_HUMAN	IRAK4	P02686	MBP_HUMAN	MBP	1	1	1	0	1
