UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P14136	GFAP_HUMAN	GFAP	A0A1B0GWI1	A0A1B0GWI1_HUMAN	CCDC196	1	3	1	0	3
P07196	NFL_HUMAN	NEFL	A0A1B0GWI1	A0A1B0GWI1_HUMAN	CCDC196	1	3	1	0	3
Q8N3L3	TXLNB_HUMAN	TXLNB	A0A1B0GWI1	A0A1B0GWI1_HUMAN	CCDC196	1	3	1	0	3
P42858	HD_HUMAN	HTT	A2RU56	A2RU56_HUMAN	LOC401296	1	3	1	0	9
P07196	NFL_HUMAN	NEFL	A2RU56	A2RU56_HUMAN	LOC401296	1	3	1	0	3
P42858	HD_HUMAN	HTT	O00165	HAX1_HUMAN	HAX1	2	4	2	0	14
P61981	1433G_HUMAN	YWHAG	O00165	HAX1_HUMAN	HAX1	1	3	1	0	3
F7VJQ1	APRIO_HUMAN	PRNP	O00165	HAX1_HUMAN	HAX1	3	3	1	0	3
O95235	KI20A_HUMAN	KIF20A	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q008S8	ECT2L_HUMAN	ECT2L	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q66T02	PKHG5_MOUSE	Plekhg5	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q9Y6C9	MTCH2_HUMAN	MTCH2	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q96AG3	S2546_HUMAN	SLC25A46	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q9H1U9	S2551_HUMAN	SLC25A51	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
Q15526	SURF1_HUMAN	SURF1	O00165	HAX1_HUMAN	HAX1	1	1	1	0	1
P42858	HD_HUMAN	HTT	O00487	PSDE_HUMAN	PSMD14	3	5	2	0	8
O60260	PRKN_HUMAN	PRKN	O00487	PSDE_HUMAN	PSMD14	1	1	1	0	1
O00487	PSDE_HUMAN	PSMD14	O00487	PSDE_HUMAN	PSMD14	4	2	3	0	4
Q99504	EYA3_HUMAN	EYA3	O00487	PSDE_HUMAN	PSMD14	1	1	1	0	1
Q9NQW6	ANLN_HUMAN	ANLN	O14578	CTRO_HUMAN	CIT	4	2	3	0	5
P04156	PRIO_HUMAN	PRNP	O14578	CTRO_HUMAN	CIT	1	1	1	0	1
O75147	OBSL1_HUMAN	OBSL1	O14578	CTRO_HUMAN	CIT	1	1	1	0	1
O14578	CTRO_HUMAN	CIT	O14578	CTRO_HUMAN	CIT	1	1	1	0	1
Q9H444	CHM4B_HUMAN	CHMP4B	O14578	CTRO_HUMAN	CIT	1	1	1	0	1
F7VJQ1	APRIO_HUMAN	PRNP	O14578	CTRO_HUMAN	CIT	1	1	1	0	1
Q05586	NMDZ1_HUMAN	GRIN1	O14578	CTRO_HUMAN	CIT	0	1	1	0	1
P14079	TAX_HTL1C	tax	O14964	HGS_HUMAN	HGS	1	2	1	0	4
Q9BYB0	SHAN3_HUMAN	SHANK3	O14964	HGS_HUMAN	HGS	1	1	1	0	1
Q92574	TSC1_HUMAN	TSC1	O14964	HGS_HUMAN	HGS	1	1	1	0	1
P42858	HD_HUMAN	HTT	O14964	HGS_HUMAN	HGS	2	2	1	0	2
P13646	K1C13_HUMAN	KRT13	O14964	HGS_HUMAN	HGS	2	2	2	0	3
Q14525	KT33B_HUMAN	KRT33B	O14964	HGS_HUMAN	HGS	2	2	2	0	3
Q08379	GOGA2_HUMAN	GOLGA2	O14964	HGS_HUMAN	HGS	1	2	1	0	2
Q8N6Y0	USBP1_HUMAN	USHBP1	O14964	HGS_HUMAN	HGS	2	3	2	0	5
P04156	PRIO_HUMAN	PRNP	O14964	HGS_HUMAN	HGS	1	1	1	0	1
O43482	MS18B_HUMAN	OIP5	O14964	HGS_HUMAN	HGS	1	1	1	0	1
P19012	K1C15_HUMAN	KRT15	O14964	HGS_HUMAN	HGS	2	4	2	0	5
P08727	K1C19_HUMAN	KRT19	O14964	HGS_HUMAN	HGS	2	2	2	0	4
Q8IYX8	CE57L_HUMAN	CEP57L1	O14964	HGS_HUMAN	HGS	1	4	1	0	4
Q8N5R6	CCD33_HUMAN	CCDC33	O14964	HGS_HUMAN	HGS	2	2	2	0	4
