UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
O00358	FOXE1_HUMAN	FOXE1	O00358	FOXE1_HUMAN	FOXE1	1	1	1	0	2
P23760	PAX3_HUMAN	PAX3	O94829	IPO13_HUMAN	IPO13	2	2	2	0	2
O95235	KI20A_HUMAN	KIF20A	O95235	KI20A_HUMAN	KIF20A	1	1	1	0	1
P29034	S10A2_HUMAN	S100A2	O95235	KI20A_HUMAN	KIF20A	1	1	1	0	1
P00519	ABL1_HUMAN	ABL1	P00519	ABL1_HUMAN	ABL1	1	4	4	0	4
P55036	PSMD4_HUMAN	PSMD4	P00519	ABL1_HUMAN	ABL1	1	1	1	0	1
P23760	PAX3_HUMAN	PAX3	P02452	CO1A1_HUMAN	COL1A1	1	1	1	0	1
P08123	CO1A2_HUMAN	COL1A2	P02452	CO1A1_HUMAN	COL1A1	3	4	3	0	7
P02452	CO1A1_HUMAN	COL1A1	P02452	CO1A1_HUMAN	COL1A1	1	1	1	0	1
P23760	PAX3_HUMAN	PAX3	P02461	CO3A1_HUMAN	COL3A1	1	1	1	0	1
P06241	FYN_HUMAN	FYN	P06241	FYN_HUMAN	FYN	6	5	6	0	6
Q86WV1	SKAP1_HUMAN	SKAP1	P06241	FYN_HUMAN	FYN	5	4	4	0	6
P12931	SRC_HUMAN	SRC	P06241	FYN_HUMAN	FYN	5	4	5	0	7
P23760	PAX3_HUMAN	PAX3	P06241	FYN_HUMAN	FYN	1	1	1	0	1
P00519	ABL1_HUMAN	ABL1	P06241	FYN_HUMAN	FYN	1	1	1	0	1
P35222	CTNB1_HUMAN	CTNNB1	P06241	FYN_HUMAN	FYN	3	4	2	0	4
O95235	KI20A_HUMAN	KIF20A	P06241	FYN_HUMAN	FYN	1	1	1	0	1
P62993	GRB2_HUMAN	GRB2	P06241	FYN_HUMAN	FYN	1	1	1	0	1
P23760	PAX3_HUMAN	PAX3	P08123	CO1A2_HUMAN	COL1A2	1	1	1	0	1
P23760	PAX3_HUMAN	PAX3	P0CG04	IGLC1_HUMAN	IGLC1	1	1	1	0	1
P12931	SRC_HUMAN	SRC	P12931	SRC_HUMAN	SRC	11	4	12	0	12
P00519	ABL1_HUMAN	ABL1	P12931	SRC_HUMAN	SRC	3	4	4	0	4
Q9UM11	FZR1_HUMAN	FZR1	P12931	SRC_HUMAN	SRC	4	4	1	0	6
P06241	FYN_HUMAN	FYN	P16333	NCK1_HUMAN	NCK1	1	1	1	0	1
P00519	ABL1_HUMAN	ABL1	P16333	NCK1_HUMAN	NCK1	6	5	5	0	8
P23760	PAX3_HUMAN	PAX3	P16333	NCK1_HUMAN	NCK1	1	1	1	0	1
P16333	NCK1_HUMAN	NCK1	P16333	NCK1_HUMAN	NCK1	1	1	1	0	1
P21675	TAF1_HUMAN	TAF1	P20226	TBP_HUMAN	TBP	24	9	20	0	30
P20265	PO3F2_HUMAN	POU3F2	P20226	TBP_HUMAN	TBP	2	3	1	0	5
P20226	TBP_HUMAN	TBP	P20226	TBP_HUMAN	TBP	3	3	4	0	4
Q13547	HDAC1_HUMAN	HDAC1	P20226	TBP_HUMAN	TBP	1	1	1	0	1
P20265	PO3F2_HUMAN	POU3F2	P20265	PO3F2_HUMAN	POU3F2	2	3	1	0	4
P29034	S10A2_HUMAN	S100A2	P20265	PO3F2_HUMAN	POU3F2	1	1	1	0	1
P23760	PAX3_HUMAN	PAX3	P21675	TAF1_HUMAN	TAF1	3	3	1	0	4
P21675	TAF1_HUMAN	TAF1	P21675	TAF1_HUMAN	TAF1	1	2	2	0	2
P50222	MEOX2_HUMAN	MEOX2	P23760	PAX3_HUMAN	PAX3	2	3	1	0	5
P20265	PO3F2_HUMAN	POU3F2	P23760	PAX3_HUMAN	PAX3	2	2	1	0	3
P00519	ABL1_HUMAN	ABL1	P23760	PAX3_HUMAN	PAX3	1	1	1	0	1
P12931	SRC_HUMAN	SRC	P23760	PAX3_HUMAN	PAX3	1	1	1	0	1
