UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
Q86V88	MGDP1_HUMAN	MDP1	E9PL57	E9PL57_HUMAN	NEDD8-MDP1	1	1	1	0	1
O60880	SH21A_HUMAN	SH2D1A	E9PL57	E9PL57_HUMAN	NEDD8-MDP1	1	1	1	0	1
Q9UIB8	SLAF5_HUMAN	CD84	O14796	SH21B_HUMAN	SH2D1B	3	4	4	0	5
P04626	ERBB2_HUMAN	ERBB2	O14796	SH21B_HUMAN	SH2D1B	2	3	2	0	3
O60880	SH21A_HUMAN	SH2D1A	O14796	SH21B_HUMAN	SH2D1B	1	1	1	0	2
Q96DU3	SLAF6_HUMAN	SLAMF6	O14796	SH21B_HUMAN	SH2D1B	2	1	2	0	4
Q9BZW8	CD244_HUMAN	CD244	O14796	SH21B_HUMAN	SH2D1B	3	4	3	0	8
P10275	ANDR_HUMAN	AR	O14796	SH21B_HUMAN	SH2D1B	2	2	1	0	4
P10721	KIT_HUMAN	KIT	O14796	SH21B_HUMAN	SH2D1B	2	2	1	0	9
P01100	FOS_HUMAN	FOS	O14796	SH21B_HUMAN	SH2D1B	1	3	1	0	3
P12931	SRC_HUMAN	SRC	O14796	SH21B_HUMAN	SH2D1B	1	3	1	0	3
Q07912	ACK1_HUMAN	TNK2	O14796	SH21B_HUMAN	SH2D1B	1	1	1	0	1
P00533	EGFR_HUMAN	EGFR	O14796	SH21B_HUMAN	SH2D1B	1	1	1	0	1
P21860	ERBB3_HUMAN	ERBB3	O14796	SH21B_HUMAN	SH2D1B	1	1	1	0	1
Q15303	ERBB4_HUMAN	ERBB4	O14796	SH21B_HUMAN	SH2D1B	1	1	1	0	1
O60880	SH21A_HUMAN	SH2D1A	O15117	FYB1_HUMAN	FYB1	2	3	2	0	3
P62993	GRB2_HUMAN	GRB2	O15117	FYB1_HUMAN	FYB1	1	1	1	0	1
P12931	SRC_HUMAN	SRC	O15117	FYB1_HUMAN	FYB1	0	1	1	0	1
Q16539	MK14_HUMAN	MAPK14	O43257	ZNHI1_HUMAN	ZNHIT1	6	6	2	0	10
O60880	SH21A_HUMAN	SH2D1A	O43257	ZNHI1_HUMAN	ZNHIT1	1	1	1	0	1
O43257	ZNHI1_HUMAN	ZNHIT1	O43257	ZNHI1_HUMAN	ZNHIT1	1	1	1	0	1
Q14155	ARHG7_HUMAN	ARHGEF7	O60880	SH21A_HUMAN	SH2D1A	4	5	2	0	10
P06241	FYN_HUMAN	FYN	O60880	SH21A_HUMAN	SH2D1A	5	5	4	1	7
P60953	CDC42_HUMAN	CDC42	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	2
Q15759	MK11_HUMAN	MAPK11	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	1
Q16539	MK14_HUMAN	MAPK14	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	1
P07948	LYN_HUMAN	LYN	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	2
Q9UBR4	LHX3_HUMAN	LHX3	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	1
P04626	ERBB2_HUMAN	ERBB2	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	1
Q15303	ERBB4_HUMAN	ERBB4	O60880	SH21A_HUMAN	SH2D1A	1	1	1	0	1
P04626	ERBB2_HUMAN	ERBB2	P00533	EGFR_HUMAN	EGFR	36	13	31	0	53
Q15303	ERBB4_HUMAN	ERBB4	P00533	EGFR_HUMAN	EGFR	6	5	5	0	8
P16333	NCK1_HUMAN	NCK1	P00533	EGFR_HUMAN	EGFR	8	9	7	0	11
O60880	SH21A_HUMAN	SH2D1A	P00533	EGFR_HUMAN	EGFR	2	3	2	0	3
P00533	EGFR_HUMAN	EGFR	P00533	EGFR_HUMAN	EGFR	56	18	49	9	59
P12931	SRC_HUMAN	SRC	P00533	EGFR_HUMAN	EGFR	29	10	26	0	38
Q16539	MK14_HUMAN	MAPK14	P00533	EGFR_HUMAN	EGFR	2	2	2	0	2
Q99704	DOK1_HUMAN	DOK1	P00533	EGFR_HUMAN	EGFR	4	4	2	0	4
Q14155	ARHG7_HUMAN	ARHGEF7	P00533	EGFR_HUMAN	EGFR	3	3	2	0	3
P00533	EGFR_HUMAN	EGFR	P01100	FOS_HUMAN	FOS	2	2	1	0	2
