UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
P04629	NTRK1_HUMAN	NTRK1	A0AVT1	UBA6_HUMAN	UBA6	1	1	1	0	1
P52788	SPSY_HUMAN	SMS	F8W6N3	F8W6N3_HUMAN	BAP1	1	1	1	0	1
O00148	DX39A_HUMAN	DDX39A	O00148	DX39A_HUMAN	DDX39A	2	2	2	0	3
Q9UJ70	NAGK_HUMAN	NAGK	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
P52788	SPSY_HUMAN	SMS	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
Q00796	DHSO_HUMAN	SORD	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
P04629	NTRK1_HUMAN	NTRK1	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
O95994	AGR2_HUMAN	AGR2	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
P15374	UCHL3_HUMAN	UCHL3	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
Q13263	TIF1B_HUMAN	TRIM28	O00148	DX39A_HUMAN	DDX39A	1	1	1	0	1
Q9Y2T3	GUAD_HUMAN	GDA	O00193	SMAP_HUMAN	SMAP	1	1	1	0	1
Q9UJ70	NAGK_HUMAN	NAGK	O00193	SMAP_HUMAN	SMAP	1	1	1	0	1
P52788	SPSY_HUMAN	SMS	O00193	SMAP_HUMAN	SMAP	1	1	1	0	1
O14745	NHRF1_HUMAN	SLC9A3R1	O14745	NHRF1_HUMAN	SLC9A3R1	3	3	3	0	3
P55060	XPO2_HUMAN	CSE1L	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
Q3LXA3	TKFC_HUMAN	TKFC	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
Q9Y2T3	GUAD_HUMAN	GDA	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
Q9BYZ2	LDH6B_HUMAN	LDHAL6B	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
P30101	PDIA3_HUMAN	PDIA3	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
P51812	KS6A3_HUMAN	RPS6KA3	O14745	NHRF1_HUMAN	SLC9A3R1	2	2	2	0	2
P52788	SPSY_HUMAN	SMS	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
P31946	1433B_HUMAN	YWHAB	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
P04629	NTRK1_HUMAN	NTRK1	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
O95994	AGR2_HUMAN	AGR2	O14745	NHRF1_HUMAN	SLC9A3R1	1	1	1	0	1
Q9UHD1	CHRD1_HUMAN	CHORDC1	O94903	PLPHP_HUMAN	PLPBP	2	2	1	0	2
Q9UJ70	NAGK_HUMAN	NAGK	O94903	PLPHP_HUMAN	PLPBP	1	1	1	0	1
O95994	AGR2_HUMAN	AGR2	O95994	AGR2_HUMAN	AGR2	1	1	1	0	1
P00338	LDHA_HUMAN	LDHA	P00338	LDHA_HUMAN	LDHA	3	3	4	0	4
P27348	1433T_HUMAN	YWHAQ	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
Q9P287	BCCIP_HUMAN	BCCIP	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
P55060	XPO2_HUMAN	CSE1L	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
Q16719	KYNU_HUMAN	KYNU	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
Q9BYZ2	LDH6B_HUMAN	LDHAL6B	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
Q9UJ70	NAGK_HUMAN	NAGK	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
P30101	PDIA3_HUMAN	PDIA3	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
O00193	SMAP_HUMAN	SMAP	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
P52788	SPSY_HUMAN	SMS	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
P04629	NTRK1_HUMAN	NTRK1	P00338	LDHA_HUMAN	LDHA	1	1	1	0	1
O95994	AGR2_HUMAN	AGR2	P00338	LDHA_HUMAN	LDHA	2	1	2	0	2
P04156	PRIO_HUMAN	PRNP	P04156	PRIO_HUMAN	PRNP	3	3	1	0	5
P04629	NTRK1_HUMAN	NTRK1	P04629	NTRK1_HUMAN	NTRK1	5	6	6	0	7
P10809	CH60_HUMAN	HSPD1	P10809	CH60_HUMAN	HSPD1	1	2	2	1	2
Q16659	MK06_HUMAN	MAPK6	P10809	CH60_HUMAN	HSPD1	1	2	1	0	2
Q9Y2T3	GUAD_HUMAN	GDA	P10809	CH60_HUMAN	HSPD1	1	1	1	0	1
Q9UJ70	NAGK_HUMAN	NAGK	P10809	CH60_HUMAN	HSPD1	1	1	1	0	1
O00193	SMAP_HUMAN	SMAP	P10809	CH60_HUMAN	HSPD1	1	1	1	0	1
P52788	SPSY_HUMAN	SMS	P10809	CH60_HUMAN	HSPD1	1	1	1	0	1
