UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
A1L162	ERIC2_HUMAN	ERICH2	P01375	TNFA_HUMAN	TNF	1	1	1	0	1
A7MCY6	TBKB1_HUMAN	TBKBP1	Q9UHD2	TBK1_HUMAN	TBK1	13	7	8	0	20
A7MCY6	TBKB1_HUMAN	TBKBP1	Q14164	IKKE_HUMAN	IKBKE	6	4	3	0	7
A7MCY6	TBKB1_HUMAN	TBKBP1	A7MCY6	TBKB1_HUMAN	TBKBP1	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	Q9Y6K9	NEMO_HUMAN	IKBKG	1	1	1	0	1
O00159	MYO1C_HUMAN	MYO1C	O95425	SVIL_HUMAN	SVIL	2	2	1	0	3
O00159	MYO1C_HUMAN	MYO1C	Q9P0K7	RAI14_HUMAN	RAI14	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	Q9NYL9	TMOD3_HUMAN	TMOD3	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	O43795	MYO1B_HUMAN	MYO1B	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	P0DP24	CALM2_HUMAN	CALM2	1	1	1	0	1
O00159	MYO1C_HUMAN	MYO1C	Q12792	TWF1_HUMAN	TWF1	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	Q6WCQ1	MPRIP_HUMAN	MPRIP	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	Q13045	FLII_HUMAN	FLII	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	Q9Y4I1	MYO5A_HUMAN	MYO5A	2	2	1	0	2
O00159	MYO1C_HUMAN	MYO1C	P0DP23	CALM1_HUMAN	CALM1	2	2	2	1	2
O00483	NDUA4_HUMAN	NDUFA4	O00483	NDUA4_HUMAN	NDUFA4	1	1	1	0	1
O00483	NDUA4_HUMAN	NDUFA4	P00387	NB5R3_HUMAN	CYB5R3	1	1	1	0	1
O00483	NDUA4_HUMAN	NDUFA4	P53007	TXTP_HUMAN	SLC25A1	1	1	1	0	1
O00483	NDUA4_HUMAN	NDUFA4	P36542	ATPG_HUMAN	ATP5C1	2	2	2	0	2
O00483	NDUA4_HUMAN	NDUFA4	Q96BW9	TAM41_HUMAN	TAMM41	1	1	1	0	1
O00483	NDUA4_HUMAN	NDUFA4	P45880	VDAC2_HUMAN	VDAC2	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P11940	PABP1_HUMAN	PABPC1	7	5	3	0	10
O00571	DDX3X_HUMAN	DDX3X	Q9UHD2	TBK1_HUMAN	TBK1	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P61254	RL26_HUMAN	RPL26	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P23396	RS3_HUMAN	RPS3	2	2	2	0	4
O00571	DDX3X_HUMAN	DDX3X	P62753	RS6_HUMAN	RPS6	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	O60506	HNRPQ_HUMAN	SYNCRIP	3	2	3	0	3
O00571	DDX3X_HUMAN	DDX3X	P07951	TPM2_HUMAN	TPM2	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P62266	RS23_HUMAN	RPS23	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	Q13114	TRAF3_HUMAN	TRAF3	2	2	1	0	3
O00571	DDX3X_HUMAN	DDX3X	Q9UKV8	AGO2_HUMAN	AGO2	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	Q9UN86	G3BP2_HUMAN	G3BP2	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	Q00839	HNRPU_HUMAN	HNRNPU	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	P17844	DDX5_HUMAN	DDX5	1	1	1	0	1
O00571	DDX3X_HUMAN	DDX3X	Q92841	DDX17_HUMAN	DDX17	1	1	1	0	1
O14786	NRP1_HUMAN	NRP1	O75051	PLXA2_HUMAN	PLXNA2	1	1	1	0	2
O14786	NRP1_HUMAN	NRP1	P61353	RL27_HUMAN	RPL27	1	2	1	0	2
O14786	NRP1_HUMAN	NRP1	Q08J23	NSUN2_HUMAN	NSUN2	2	2	1	0	3
O14786	NRP1_HUMAN	NRP1	O14786	NRP1_HUMAN	NRP1	1	2	2	0	2
O14863	ZNT4_HUMAN	SLC30A4	O14863	ZNT4_HUMAN	SLC30A4	1	1	1	0	2
O14863	ZNT4_HUMAN	SLC30A4	P01375	TNFA_HUMAN	TNF	1	1	1	0	1
O14920	IKKB_HUMAN	IKBKB	P25963	IKBA_HUMAN	NFKBIA	64	7	61	0	81
O14920	IKKB_HUMAN	IKBKB	Q60680	IKKA_MOUSE	Chuk	2	2	2	0	3
O14920	IKKB_HUMAN	IKBKB	O15111	IKKA_HUMAN	CHUK	43	12	36	0	56
O14920	IKKB_HUMAN	IKBKB	O14920	IKKB_HUMAN	IKBKB	18	8	19	0	19
O14920	IKKB_HUMAN	IKBKB	O88522	NEMO_MOUSE	Ikbkg	2	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	Q9Y4K3	TRAF6_HUMAN	TRAF6	3	3	3	0	3
O14920	IKKB_HUMAN	IKBKB	Q9UHD2	TBK1_HUMAN	TBK1	1	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	Q12933	TRAF2_HUMAN	TRAF2	11	6	8	0	12
O14920	IKKB_HUMAN	IKBKB	Q13489	BIRC3_HUMAN	BIRC3	2	2	1	0	2
O14920	IKKB_HUMAN	IKBKB	P21580	TNAP3_HUMAN	TNFAIP3	3	4	3	0	5
O14920	IKKB_HUMAN	IKBKB	Q9Y297	FBW1A_HUMAN	BTRC	3	1	3	0	4
O14920	IKKB_HUMAN	IKBKB	Q14790	CASP8_HUMAN	CASP8	1	2	1	0	2
O14920	IKKB_HUMAN	IKBKB	Q14164	IKKE_HUMAN	IKBKE	2	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	O76064	RNF8_HUMAN	RNF8	1	1	1	0	2
O14920	IKKB_HUMAN	IKBKB	Q15628	TRADD_HUMAN	TRADD	1	1	1	0	1
O14920	IKKB_HUMAN	IKBKB	Q9BYM8	HOIL1_HUMAN	RBCK1	1	1	1	0	2
O14920	IKKB_HUMAN	IKBKB	Q96EP0	RNF31_HUMAN	RNF31	1	1	1	0	2
O15027	SC16A_HUMAN	SEC16A	P52272	HNRPM_HUMAN	HNRNPM	2	2	1	0	2
O15027	SC16A_HUMAN	SEC16A	P05783	K1C18_HUMAN	KRT18	3	3	2	0	3
O15027	SC16A_HUMAN	SEC16A	Q12933	TRAF2_HUMAN	TRAF2	1	1	1	0	1
O15111	IKKA_HUMAN	CHUK	P25963	IKBA_HUMAN	NFKBIA	52	7	50	0	60
O15111	IKKA_HUMAN	CHUK	O43318	M3K7_HUMAN	MAP3K7	8	5	6	0	10
O15111	IKKA_HUMAN	CHUK	Q9Y6K9	NEMO_HUMAN	IKBKG	74	10	61	0	93
O15111	IKKA_HUMAN	CHUK	O15111	IKKA_HUMAN	CHUK	6	6	6	0	7
O15111	IKKA_HUMAN	CHUK	P61353	RL27_HUMAN	RPL27	1	2	1	0	2
