UniprotID_A	UniProtName_A	GeneName_A	UniprotID_B	UniProtName_B	GeneName_B	Exp. Evidences	Methods	Publications	3DStructures	CurationEvents
A0A0B4J269	A0A0B4J269_HUMAN	A0A0B4J269	P19438	TNR1A_HUMAN	TNFRSF1A	1	1	1	0	1
A0A0B4J269	A0A0B4J269_HUMAN	A0A0B4J269	P20333	TNR1B_HUMAN	TNFRSF1B	1	1	1	0	1
A0A0B4J269	A0A0B4J269_HUMAN	A0A0B4J269	Q9Y4K3	TRAF6_HUMAN	TRAF6	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P19438	TNR1A_HUMAN	TNFRSF1A	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P20333	TNR1B_HUMAN	TNFRSF1B	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q9ULQ1	TPC1_HUMAN	TPCN1	2	2	1	0	2
O00165	HAX1_HUMAN	HAX1	P31323	KAP3_HUMAN	PRKAR2B	2	2	1	0	3
O00165	HAX1_HUMAN	HAX1	P11021	GRP78_HUMAN	HSPA5	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P38646	GRP75_HUMAN	HSPA9	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P04350	TBB4A_HUMAN	TUBB4A	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P07900	HS90A_HUMAN	HSP90AA1	3	2	2	0	4
O00165	HAX1_HUMAN	HAX1	Q9Y4W6	AFG32_HUMAN	AFG3L2	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P27708	PYR1_HUMAN	CAD	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q00610	CLH1_HUMAN	CLTC	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P31689	DNJA1_HUMAN	DNAJA1	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	Q99661	KIF2C_HUMAN	KIF2C	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P27986	P85A_HUMAN	PIK3R1	1	1	1	0	1
O00165	HAX1_HUMAN	HAX1	P0CG47	UBB_HUMAN	UBB	1	1	1	0	1
O14735	CDIPT_HUMAN	CDIPT	P19438	TNR1A_HUMAN	TNFRSF1A	1	1	1	0	1
O14735	CDIPT_HUMAN	CDIPT	P20333	TNR1B_HUMAN	TNFRSF1B	1	1	1	0	1
O14735	CDIPT_HUMAN	CDIPT	Q8N9R8	SCAI_HUMAN	SCAI	1	1	1	0	1
O14763	TR10B_HUMAN	TNFRSF10B	Q3ZCQ8	TIM50_HUMAN	TIMM50	1	1	1	0	1
O14763	TR10B_HUMAN	TNFRSF10B	Q15628	TRADD_HUMAN	TRADD	1	2	1	0	2
O14763	TR10B_HUMAN	TNFRSF10B	Q13546	RIPK1_HUMAN	RIPK1	2	2	2	0	3
O14763	TR10B_HUMAN	TNFRSF10B	P22681	CBL_HUMAN	CBL	2	1	2	0	2
O14763	TR10B_HUMAN	TNFRSF10B	P21580	TNAP3_HUMAN	TNFAIP3	1	1	1	0	1
O14763	TR10B_HUMAN	TNFRSF10B	Q12933	TRAF2_HUMAN	TRAF2	2	1	2	0	2
O14763	TR10B_HUMAN	TNFRSF10B	Q03135	CAV1_HUMAN	CAV1	1	1	1	0	1
O14763	TR10B_HUMAN	TNFRSF10B	P15941	MUC1_HUMAN	MUC1	1	1	1	0	1
O14920	IKKB_HUMAN	IKBKB	O15111	IKKA_HUMAN	CHUK	43	12	36	0	56
O14920	IKKB_HUMAN	IKBKB	O14920	IKKB_HUMAN	IKBKB	18	8	19	0	19
O14920	IKKB_HUMAN	IKBKB	Q9Y4K3	TRAF6_HUMAN	TRAF6	3	3	3	0	3
O14920	IKKB_HUMAN	IKBKB	Q9UHD2	TBK1_HUMAN	TBK1	1	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	Q12933	TRAF2_HUMAN	TRAF2	11	6	8	0	12
O14920	IKKB_HUMAN	IKBKB	Q13489	BIRC3_HUMAN	BIRC3	2	2	1	0	2
O14920	IKKB_HUMAN	IKBKB	P05771	KPCB_HUMAN	PRKCB	2	3	2	0	3
O14920	IKKB_HUMAN	IKBKB	P21580	TNAP3_HUMAN	TNFAIP3	3	4	3	0	5
O14920	IKKB_HUMAN	IKBKB	P30048	PRDX3_HUMAN	PRDX3	1	1	1	0	1
O14920	IKKB_HUMAN	IKBKB	Q14790	CASP8_HUMAN	CASP8	1	2	1	0	2
O14920	IKKB_HUMAN	IKBKB	P62136	PP1A_HUMAN	PPP1CA	2	1	2	0	3
O14920	IKKB_HUMAN	IKBKB	Q05655	KPCD_HUMAN	PRKCD	3	3	1	0	4
O14920	IKKB_HUMAN	IKBKB	P15941	MUC1_HUMAN	MUC1	2	2	1	0	2
O14920	IKKB_HUMAN	IKBKB	Q14164	IKKE_HUMAN	IKBKE	2	2	2	0	2
O14920	IKKB_HUMAN	IKBKB	Q13077	TRAF1_HUMAN	TRAF1	4	3	2	0	4
