UniProtName_A	UniProtName_B
TR10A_HUMAN	CD44_HUMAN
TR10A_HUMAN	CD320_HUMAN
TR10A_HUMAN	TR10A_HUMAN
DDX3X_HUMAN	EIF3C_HUMAN
DDX3X_HUMAN	EIF3I_HUMAN
DDX3X_HUMAN	EIF3D_HUMAN
DDX3X_HUMAN	EIF3B_HUMAN
DDX3X_HUMAN	RS9_HUMAN
DDX3X_HUMAN	DDX5_HUMAN
O09528_9HIV1	CD4_HUMAN
HGS_HUMAN	K1C18_HUMAN
HGS_HUMAN	HSP7C_HUMAN
HGS_HUMAN	TBB5_HUMAN
HGS_HUMAN	P85A_HUMAN
SHIP2_HUMAN	P85A_HUMAN
SHIP2_HUMAN	HSP7C_HUMAN
SHIP2_HUMAN	TBB5_HUMAN
SHIP2_HUMAN	HS90B_HUMAN
SHIP2_HUMAN	DDX3X_HUMAN
SHIP2_HUMAN	RLA0_HUMAN
SHIP2_HUMAN	DDX5_HUMAN
SHIP2_HUMAN	RS19_HUMAN
EIF3D_HUMAN	NUCL_HUMAN
EIF3D_HUMAN	RS12_HUMAN
EIF3D_HUMAN	RS9_HUMAN
LAT_HUMAN	LCK_HUMAN
LAT_HUMAN	CD4_HUMAN
IL2RA_HUMAN	IL2RA_HUMAN
IL2RA_HUMAN	HGS_HUMAN
CD4_HUMAN	Q2N0S6_9HIV1
CD4_HUMAN	A0A6L7H9A7_BACAN
CD4_HUMAN	HB2K_MOUSE
CD4_HUMAN	TRFE_CHICK
CD4_HUMAN	HA2K_MOUSE
CD4_HUMAN	LCK_HUMAN
CD4_HUMAN	SHIP2_HUMAN
CD4_HUMAN	LAMP2_HUMAN
CD4_HUMAN	SHLB1_HUMAN
CD4_HUMAN	POGZ_HUMAN
CD4_HUMAN	VPP2_HUMAN
CD4_HUMAN	EI2BD_HUMAN
CD4_HUMAN	EI2BG_HUMAN
CD4_HUMAN	CD320_HUMAN
CD4_HUMAN	ARV1_HUMAN
CD4_HUMAN	SAAL1_HUMAN
CD4_HUMAN	VPP1_HUMAN
CD4_HUMAN	K319L_HUMAN
CD4_HUMAN	VAMP3_HUMAN
CD4_HUMAN	TMM11_HUMAN
CD4_HUMAN	CC85C_HUMAN
CD4_HUMAN	U119A_HUMAN
CD4_HUMAN	SPG21_HUMAN
CD4_HUMAN	PIP_HUMAN
CD4_HUMAN	IL16_HUMAN
CD4_HUMAN	CD81_HUMAN
CD4_HUMAN	CD82_HUMAN
CD4_HUMAN	KSYK_HUMAN
CD4_HUMAN	ZAP70_HUMAN
CD4_HUMAN	EPS15_HUMAN
CD4_HUMAN	NEF_HV1H2
CD4_HUMAN	LPPRC_HUMAN
CD4_HUMAN	EIF3C_HUMAN
CD4_HUMAN	TNPO1_HUMAN
CD4_HUMAN	IMB1_HUMAN
CD4_HUMAN	EIF3B_HUMAN
CD4_HUMAN	HS90A_HUMAN
CD4_HUMAN	NEP_HUMAN
CD4_HUMAN	HS90B_HUMAN
CD4_HUMAN	SSRP1_HUMAN
CD4_HUMAN	ANXA6_HUMAN
CD4_HUMAN	NUCL_HUMAN
CD4_HUMAN	DDX3X_HUMAN
CD4_HUMAN	HSP7C_HUMAN
CD4_HUMAN	DDX5_HUMAN
CD4_HUMAN	SYFB_HUMAN
CD4_HUMAN	EIF3D_HUMAN
CD4_HUMAN	CH60_HUMAN
CD4_HUMAN	ATPA_HUMAN
CD4_HUMAN	CD4_HUMAN
CD4_HUMAN	VIME_HUMAN
CD4_HUMAN	TBB5_HUMAN
CD4_HUMAN	HNRH1_HUMAN
CD4_HUMAN	ENOA_HUMAN
CD4_HUMAN	IF4A2_HUMAN
CD4_HUMAN	GNAI2_HUMAN
CD4_HUMAN	ANXA1_HUMAN
CD4_HUMAN	ROA1_HUMAN
CD4_HUMAN	ANXA2_HUMAN
CD4_HUMAN	HNRPD_HUMAN
CD4_HUMAN	VDAC2_HUMAN
CD4_HUMAN	ROA2_HUMAN
CD4_HUMAN	EIF3I_HUMAN
CD4_HUMAN	G3P_HUMAN
CD4_HUMAN	RLA0_HUMAN
CD4_HUMAN	RSSA_HUMAN
CD4_HUMAN	NPM_HUMAN
CD4_HUMAN	VDAC1_HUMAN
CD4_HUMAN	VDAC3_HUMAN
CD4_HUMAN	PHB_HUMAN
CD4_HUMAN	RL7_HUMAN
CD4_HUMAN	DHRS2_HUMAN
CD4_HUMAN	EF1B_HUMAN
CD4_HUMAN	RS9_HUMAN
CD4_HUMAN	RL18_HUMAN
CD4_HUMAN	ML12A_HUMAN
CD4_HUMAN	RS10_HUMAN
CD4_HUMAN	RS19_HUMAN
CD4_HUMAN	RL22_HUMAN
CD4_HUMAN	RS12_HUMAN
CD4_HUMAN	RLA1_HUMAN
CD4_HUMAN	CHIP_HUMAN
CD4_HUMAN	HGS_HUMAN
CD4_HUMAN	TERA_HUMAN
CD4_HUMAN	RANB9_HUMAN
CD4_HUMAN	SIVA_HUMAN
CD4_HUMAN	LCK_MOUSE
CD4_HUMAN	CD44_HUMAN
CD4_HUMAN	CD38_HUMAN
CD4_HUMAN	P85A_HUMAN
CD4_HUMAN	CD28_HUMAN
CD4_HUMAN	CATD_HUMAN
